Tabla;Nombre Dato;Tipo de dato;Longitud;Clave;Obligatoriedad;Detalle
Customers;id;Número Entero;;PK;Obligatorio (NOT NULL);Identificador principal. Tabla que almacena la información de los clientes (compradores).
Customers;merchant_id;Identificador Único (UUID);;FK;Obligatorio (NOT NULL);Referencia a merchants.id. Tabla que almacena la información de los clientes (compradores).
Customers;full_name;Texto;Variable;-;Obligatorio (NOT NULL);Campo 'full_name' de la tabla que almacena la información de los clientes (compradores).
Customers;email;Texto;Variable;-;Opcional (NULL);Campo 'email' de la tabla que almacena la información de los clientes (compradores).
Customers;phone;Texto;Variable;-;Opcional (NULL);Campo 'phone' de la tabla que almacena la información de los clientes (compradores).
Customers;shopify_customer_id;Número Entero;;-;Opcional (NULL);Campo 'shopify_customer_id' de la tabla que almacena la información de los clientes (compradores).
Customers;favorable_balance;Número Decimal;12,2;-;Obligatorio (NOT NULL);Campo 'favorable_balance' de la tabla que almacena la información de los clientes (compradores).
Customers;punctuality_score;Número Decimal;5,2;-;Opcional (NULL);Campo 'punctuality_score' de la tabla que almacena la información de los clientes (compradores).
Merchants;id;Identificador Único (UUID);;PK;Obligatorio (NOT NULL);Identificador principal. Tabla de comerciantes (tiendas Shopify).
Merchants;shop_domain;Texto;Variable;-;Obligatorio (NOT NULL);Campo 'shop_domain' de la tabla de comerciantes (tiendas shopify).
Merchants;access_token;Texto;Variable;-;Opcional (NULL);Campo 'access_token' de la tabla de comerciantes (tiendas shopify).
Credits;id;Número Entero;;PK;Obligatorio (NOT NULL);Identificador principal. Tabla principal de créditos/préstamos.
Credits;customer_id;Número Entero;;FK;Obligatorio (NOT NULL);Referencia a customers.id. Tabla principal de créditos/préstamos.
Credits;concept;Texto;Variable;-;Obligatorio (NOT NULL);Campo 'concept' de la tabla principal de créditos/préstamos.
Credits;total_amount;Número Decimal;12,2;-;Obligatorio (NOT NULL);Campo 'total_amount' de la tabla principal de créditos/préstamos.
Credits;balance;Número Decimal;12,2;-;Obligatorio (NOT NULL);Campo 'balance' de la tabla principal de créditos/préstamos.
Credits;installments_count;Número Entero;;-;Obligatorio (NOT NULL);Campo 'installments_count' de la tabla principal de créditos/préstamos.
Credits;status;Texto;20;-;Obligatorio (NOT NULL);Campo 'status' de la tabla principal de créditos/préstamos.
Credits;created_at;Fecha y Hora;;-;Opcional (NULL);Campo 'created_at' de la tabla principal de créditos/préstamos.
Credit_installments;id;Número Entero;;PK;Obligatorio (NOT NULL);Identificador principal. Tabla de cuotas individuales para cada crédito.
Credit_installments;credit_id;Número Entero;;FK;Obligatorio (NOT NULL);Referencia a credits.id. Tabla de cuotas individuales para cada crédito.
Credit_installments;number;Número Entero;;-;Obligatorio (NOT NULL);Campo 'number' de la tabla de cuotas individuales para cada crédito.
Credit_installments;amount;Número Decimal;12,2;-;Obligatorio (NOT NULL);Campo 'amount' de la tabla de cuotas individuales para cada crédito.
Credit_installments;due_date;Fecha;;-;Opcional (NULL);Campo 'due_date' de la tabla de cuotas individuales para cada crédito.
Credit_installments;status;Texto;9;-;Obligatorio (NOT NULL);Campo 'status' de la tabla de cuotas individuales para cada crédito.
Credit_installments;paid_amount;Número Decimal;12,2;-;Obligatorio (NOT NULL);Campo 'paid_amount' de la tabla de cuotas individuales para cada crédito.
Credit_installments;paid_at;Fecha y Hora;;-;Opcional (NULL);Campo 'paid_at' de la tabla de cuotas individuales para cada crédito.
Payment_installments;payment_id;Número Entero;;PK, FK;Obligatorio (NOT NULL);Identificador principal. Tabla asociativa entre pagos y cuotas (muchos a muchos).
Payment_installments;installment_id;Número Entero;;PK, FK;Obligatorio (NOT NULL);Identificador principal. Tabla asociativa entre pagos y cuotas (muchos a muchos).
Payments;id;Número Entero;;PK;Obligatorio (NOT NULL);Identificador principal. Tabla de pagos realizados por los clientes.
Payments;credit_id;Número Entero;;FK;Obligatorio (NOT NULL);Referencia a credits.id. Tabla de pagos realizados por los clientes.
Payments;installment_id;Número Entero;;FK;Opcional (NULL);Referencia a credit_installments.id. Tabla de pagos realizados por los clientes.
Payments;amount;Número Decimal;12,2;-;Obligatorio (NOT NULL);Campo 'amount' de la tabla de pagos realizados por los clientes.
Payments;reference_number;Texto;Variable;-;Obligatorio (NOT NULL);Campo 'reference_number' de la tabla de pagos realizados por los clientes.
Payments;payment_method;Texto;Variable;-;Opcional (NULL);Campo 'payment_method' de la tabla de pagos realizados por los clientes.
Payments;bank_name;Texto;Variable;-;Opcional (NULL);Campo 'bank_name' de la tabla de pagos realizados por los clientes.
Payments;status;Texto;11;-;Obligatorio (NOT NULL);Campo 'status' de la tabla de pagos realizados por los clientes.
Payments;payment_date;Fecha y Hora;;-;Opcional (NULL);Campo 'payment_date' de la tabla de pagos realizados por los clientes.
Payments;reviewed_at;Fecha y Hora;;-;Opcional (NULL);Campo 'reviewed_at' de la tabla de pagos realizados por los clientes.
Payments;reviewed_by;Identificador Único (UUID);;-;Opcional (NULL);Campo 'reviewed_by' de la tabla de pagos realizados por los clientes.
Payments;notes;Texto;Variable;-;Opcional (NULL);Campo 'notes' de la tabla de pagos realizados por los clientes.
Payments;punctuality_value;Número Decimal;5,2;-;Opcional (NULL);Campo 'punctuality_value' de la tabla de pagos realizados por los clientes.
Payments;created_at;Fecha y Hora;;-;Opcional (NULL);Campo 'created_at' de la tabla de pagos realizados por los clientes.
